time,BE100,BE211,BE332,EL30X,EL522,EL612
2015-01-05,232.0,246.0,188.0,744.0,261.0,78.0
2015-01-12,194.0,249.0,142.0,766.0,233.0,73.0
2015-01-19,226.0,245.0,164.0,747.0,252.0,91.0
2015-01-26,211.0,242.0,168.0,653.0,201.0,74.0
2015-02-02,243.0,246.0,153.0,586.0,255.0,68.0
2015-02-09,241.0,283.0,154.0,555.0,229.0,64.0
2015-02-16,228.0,254.0,175.0,604.0,220.0,58.0
2015-02-23,235.0,223.0,162.0,660.0,238.0,59.0
2015-03-02,224.0,230.0,180.0,606.0,219.0,50.0
2015-03-09,212.0,203.0,156.0,595.0,228.0,50.0
2015-03-16,191.0,219.0,140.0,548.0,226.0,46.0
2015-03-23,177.0,214.0,122.0,601.0,212.0,48.0
2015-03-30,200.0,198.0,144.0,529.0,205.0,61.0
2015-04-06,170.0,207.0,170.0,547.0,225.0,50.0
2015-04-13,178.0,197.0,136.0,564.0,208.0,64.0
2015-04-20,177.0,197.0,125.0,530.0,203.0,51.0
2015-04-27,167.0,209.0,98.0,529.0,187.0,67.0
2015-05-04,179.0,195.0,133.0,571.0,191.0,46.0
2015-05-11,147.0,180.0,139.0,490.0,185.0,71.0
2015-05-18,155.0,174.0,130.0,455.0,205.0,59.0
2015-05-25,171.0,172.0,147.0,448.0,164.0,38.0
2015-06-01,153.0,181.0,130.0,481.0,187.0,48.0
2015-06-08,170.0,190.0,123.0,479.0,197.0,74.0
2015-06-15,163.0,181.0,98.0,532.0,197.0,67.0
2015-06-22,152.0,187.0,137.0,453.0,182.0,61.0
2015-06-29,194.0,220.0,193.0,446.0,159.0,55.0
2015-07-06,184.0,192.0,144.0,558.0,184.0,53.0
2015-07-13,145.0,145.0,133.0,524.0,197.0,55.0
2015-07-20,145.0,163.0,123.0,570.0,233.0,60.0
2015-07-27,166.0,140.0,120.0,638.0,202.0,68.0
2015-08-03,192.0,151.0,128.0,575.0,235.0,53.0
2015-08-10,157.0,156.0,121.0,520.0,203.0,47.0
2015-08-17,138.0,153.0,116.0,487.0,181.0,49.0
2015-08-24,173.0,154.0,126.0,500.0,196.0,49.0
2015-08-31,161.0,186.0,112.0,541.0,196.0,69.0
2015-09-07,149.0,171.0,111.0,527.0,190.0,44.0
2015-09-14,155.0,145.0,106.0,494.0,158.0,52.0
2015-09-21,160.0,161.0,115.0,486.0,166.0,42.0
2015-09-28,176.0,175.0,124.0,423.0,194.0,40.0
2015-10-05,182.0,164.0,114.0,484.0,200.0,62.0
2015-10-12,166.0,193.0,118.0,462.0,196.0,43.0
2015-10-19,178.0,175.0,132.0,500.0,201.0,59.0
2015-10-26,165.0,207.0,103.0,511.0,201.0,68.0
2015-11-02,163.0,194.0,152.0,523.0,228.0,46.0
2015-11-09,171.0,168.0,142.0,565.0,233.0,44.0
2015-11-16,194.0,179.0,129.0,528.0,191.0,43.0
2015-11-23,176.0,169.0,128.0,511.0,212.0,44.0
2015-11-30,147.0,177.0,124.0,505.0,170.0,63.0
2015-12-07,176.0,184.0,111.0,565.0,203.0,58.0
2015-12-14,156.0,155.0,133.0,582.0,219.0,42.0
2015-12-21,151.0,184.0,140.0,610.0,222.0,56.0
2015-12-28,163.0,194.0,130.0,643.0,237.0,62.0
2016-01-04,171.0,200.0,147.0,622.0,243.0,76.0
2016-01-11,191.0,173.0,155.0,658.0,231.0,76.0
2016-01-18,182.0,215.0,147.0,614.0,239.0,60.0
2016-01-25,195.0,184.0,161.0,632.0,238.0,73.0
2016-02-01,192.0,185.0,128.0,677.0,255.0,57.0
2016-02-08,167.0,178.0,123.0,638.0,248.0,59.0
2016-02-15,166.0,205.0,130.0,573.0,223.0,52.0
2016-02-22,192.0,196.0,140.0,527.0,188.0,62.0
2016-02-29,186.0,223.0,168.0,490.0,182.0,53.0
2016-03-07,194.0,199.0,137.0,551.0,213.0,55.0
2016-03-14,193.0,227.0,134.0,524.0,190.0,46.0
2016-03-21,232.0,220.0,133.0,542.0,190.0,51.0
2016-03-28,179.0,212.0,137.0,564.0,196.0,53.0
2016-04-04,157.0,204.0,124.0,559.0,205.0,64.0
